total_size,draw,method,accuracy
70,29,LOGIS,0.7142857142857143
70,29,SVM,0.6714285714285715
70,29,KNN,0.6857142857142857
70,29,RF,0.7285714285714285
70,29,XGB,0.7428571428571428
80,0,LOGIS,0.6875
80,0,SVM,0.725
80,0,KNN,0.725
80,0,RF,0.6875
80,0,XGB,0.7375
80,1,LOGIS,0.7
80,1,SVM,0.7375
80,1,KNN,0.75
80,1,RF,0.7375
80,1,XGB,0.7
80,2,LOGIS,0.75
80,2,SVM,0.8125
80,2,KNN,0.8
80,2,RF,0.8
80,2,XGB,0.7875
80,3,LOGIS,0.75
80,3,SVM,0.775
80,3,KNN,0.7125
80,3,RF,0.725
80,3,XGB,0.7
80,4,LOGIS,0.6875
80,4,SVM,0.7375
80,4,KNN,0.7125
80,4,RF,0.8
80,4,XGB,0.7625
80,5,LOGIS,0.775
80,5,SVM,0.7625
80,5,KNN,0.725
80,5,RF,0.7875
80,5,XGB,0.8125
80,6,LOGIS,0.7125
80,6,SVM,0.85
80,6,KNN,0.775
80,6,RF,0.85
80,6,XGB,0.8
80,7,LOGIS,0.7125
80,7,SVM,0.8125
80,7,KNN,0.7875
80,7,RF,0.8
80,7,XGB,0.7875
80,8,LOGIS,0.8
80,8,SVM,0.8
80,8,KNN,0.775
80,8,RF,0.75
80,8,XGB,0.75
80,9,LOGIS,0.725
80,9,SVM,0.775
80,9,KNN,0.7875
80,9,RF,0.775
80,9,XGB,0.725
80,10,LOGIS,0.825
80,10,SVM,0.8625
80,10,KNN,0.8125
80,10,RF,0.875
80,10,XGB,0.825
80,11,LOGIS,0.8
80,11,SVM,0.825
80,11,KNN,0.8
80,11,RF,0.7875
80,11,XGB,0.7875
80,12,LOGIS,0.725
80,12,SVM,0.7625
80,12,KNN,0.8125
80,12,RF,0.825
80,12,XGB,0.725
80,13,LOGIS,0.7625
80,13,SVM,0.8125
80,13,KNN,0.8
80,13,RF,0.8125
80,13,XGB,0.775
80,14,LOGIS,0.75
80,14,SVM,0.75
80,14,KNN,0.675
80,14,RF,0.75
80,14,XGB,0.7
80,15,LOGIS,0.7875
