total_size,draw,method,f1_score
42,21,SVM,0.8042063492063491
42,21,KNN,0.6377200577200577
42,21,RF,0.7357431457431457
42,21,XGB,0.7807431457431457
42,22,LOGIS,0.7647186147186147
42,22,SVM,0.8147186147186147
42,22,KNN,0.597936507936508
42,22,RF,0.7847619047619048
42,22,XGB,0.6423015873015874
42,23,LOGIS,0.8213419913419913
42,23,SVM,0.8254761904761905
42,23,KNN,0.6798268398268398
42,23,RF,0.7841125541125541
42,23,XGB,0.7594733044733044
42,24,LOGIS,0.8043145743145743
42,24,SVM,0.8543145743145744
42,24,KNN,0.6772222222222222
42,24,RF,0.641010101010101
42,24,XGB,0.7042424242424243
42,25,LOGIS,0.897893217893218
42,25,SVM,0.8708225108225107
42,25,KNN,0.6866666666666668
42,25,RF,0.7725757575757576
42,25,XGB,0.7346031746031747
42,26,LOGIS,0.7111111111111111
42,26,SVM,0.7572871572871572
42,26,KNN,0.6785392385392386
42,26,RF,0.6836796536796537
42,26,XGB,0.7405772005772006
42,27,LOGIS,0.8516666666666666
42,27,SVM,0.8796031746031746
42,27,KNN,0.7982539682539682
42,27,RF,0.743997113997114
42,27,XGB,0.7193939393939394
42,28,LOGIS,0.8999134199134199
42,28,SVM,0.8745165945165944
42,28,KNN,0.7142424242424242
42,28,RF,0.6978066378066379
42,28,XGB,0.7093867243867245
42,29,LOGIS,0.8579365079365079
42,29,SVM,0.8796031746031746
42,29,KNN,0.8808297258297259
42,29,RF,0.8046031746031745
42,29,XGB,0.805
49,0,LOGIS,0.8083083583083581
49,0,SVM,0.8310356310356312
49,0,KNN,0.6357875457875458
49,0,RF,0.6871212121212122
49,0,XGB,0.7331818181818183
49,1,LOGIS,0.9381313131313131
49,1,SVM,0.957819957819958
49,1,KNN,0.858989898989899
49,1,RF,0.7934343434343435
49,1,XGB,0.816919191919192
49,2,LOGIS,0.8741919191919193
49,2,SVM,0.8543939393939395
49,2,KNN,0.7208591408591409
49,2,RF,0.8024642024642026
49,2,XGB,0.6855810855810855
49,3,LOGIS,0.9183333333333332
49,3,SVM,0.9381313131313131
49,3,KNN,0.9147546897546898
49,3,RF,0.8791919191919192
49,3,XGB,0.8363636363636363
49,4,LOGIS,0.9175757575757576
49,4,SVM,0.8973737373737375
49,4,KNN,0.7908585858585858
